Basic statistics,Global constants (default)
"Sexually active men in the population, %",0.2
"Sexually active men who use condoms, %",0.2
"WRA who use modern contraceptives, % ",0.15
"WRA who use female condoms, %",0.01
"WRA who use an implant, %",0.03
"WRA who use combined oral contraceptive pills, %",0.05
"WRA who use injectable contraception, %",0.08
"WRA who use an IUD, %",0.01
"People living with HIV, %",-
"People living with HIV, receiving ART, %",-
"People who will seek care for STI syndroms, %",0.03
"Cases of sexual violence who will seek care, %",0.02
Safe induced abortion rate,-
